PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
03zfX,1rb2rk1/p1q2pnp/2pp1Q2/1p4P1/4P3/1P3NNP/P7/1K1R3R w - - 5 27,d1d6 g7e8 d6c6 c7g3,1861,74,93,1980,crushing fork middlegame short skewer,https://lichess.org/y17Djyue#53
0QxS0,r2q1rk1/ppp2p1p/5pb1/4p3/5n1N/1PP1R2P/1P1Q1PP1/R1B3K1 b - - 0 18,f4d5 h4g6 f7g6 e3d3 c7c6 c3c4,2008,74,92,661,advantage long middlegame,https://lichess.org/BIPsdWfI/black#36
0lXmr,5r1k/p5pp/2p1Q3/2P3N1/1q1b4/7P/P4RP1/6K1 b - - 0 28,b4e1 e6e1 d4f2 e1f2 f8f2 g1f2,1016,83,92,86,crushing endgame long,https://lichess.org/7l0BcFPo/black#56
0O3H2,2r5/1p4bk/6pp/4p3/5p2/1Q6/PP3PPP/R1q3K1 w - - 0 40,a1c1 c8c1 b3d1 c1d1,625,102,82,176,backRankMate endgame mate mateIn2 short,https://lichess.org/sklDPGQ3#79
0Pd6t,4rrk1/ppp2p2/3p2p1/2PPb3/1P2Pp1q/5Q2/P3NPPP/1R2R1K1 w - - 2 22,e2f4 h4f4 f3f4 e5f4,1859,84,74,29,advantage middlegame short,https://lichess.org/O4VJYTE6#43
0Mc8L,r1bq2nQ/pp3kpN/2n1p2r/3p4/2pP3P/P1P5/2P1BPP1/R3K2R b KQ - 1 18,g8f6 h7g5 f7g6 h4h5 f6h5 e2h5,1895,164,100,9,crushing long middlegame,https://lichess.org/pBjKuBAb/black#36
0Rsvk,6k1/6p1/4p2p/3qP2P/2p5/P2rQ1P1/5P1K/2R5 w - - 5 39,e3f4 d3f3 c1c4 f3f4,1911,74,94,2910,crushing endgame master masterVsMaster short,https://lichess.org/yzfNJPvh#77
0hnDy,r4rk1/pp1q1ppp/2p2b2/8/8/1PnP1QP1/PB1N1PKP/R3R3 w - - 0 18,d2e4 c3e4 d3e4 f6b2,1157,137,79,9,crushing discoveredAttack middlegame short,https://lichess.org/QVuSiFjG#35
0BgQ6,2rq1rk1/pp3p2/3p1bpQ/8/4B3/5N1P/PP3PP1/R1B3K1 w - - 1 22,f3g5 c8c1 a1c1 f6g5,1766,75,93,489,crushing middlegame short,https://lichess.org/EMhwVJeW#43
0u1w6,6k1/1b6/p5r1/4p3/P2n1P2/QP2R2P/3r1P2/2R2K2 w - - 3 40,e3e5 b7g2 f1e1 d4f3,1643,82,96,6489,mate mateIn2 middlegame short,https://lichess.org/i0Xm1Vs8#79
0MuLy,rnb1k2r/pp1p1ppp/1qp5/4p3/2B1P1n1/2NP1N2/PPP3PP/R1BQ2KR w kq - 1 8,g1f1 b6f2,1481,475,67,7,mate mateIn1 oneMove opening,https://lichess.org/08vT9Tyv#15
0bHvS,1k1r1b2/pp4p1/8/2pPpQ2/2P3n1/2N2Nqr/PP4P1/R1B1R1K1 w - - 0 22,c1g5 g3f2,1549,91,85,1903,mate mateIn1 middlegame oneMove,https://lichess.org/AuuVuYE0#43
082WX,6k1/1b1q1p2/p3p1pp/4P3/3r1P2/1R4PP/4BP2/Q5K1 b - - 0 29,d7d5 b3b7 d5b7 a1d4,1428,75,98,5845,crushing deflection endgame short,https://lichess.org/ZrFAADXt/black#58
0G54n,rn1qkbnr/p4ppp/1p2p3/3p4/3P1B2/2NQ1N2/PPP2PPP/R3K2R b KQkq - 0 8,f8b4 d3b5 d8d7 b5b4,1049,76,100,135,crushing fork middlegame short,https://lichess.org/LgUDjHuk/black#16
0bDGa,8/8/R7/1p4pk/1P2n3/P2b3P/7K/8 b - - 2 49,h5h4 a6h6,884,127,100,48,endgame mate mateIn1 oneMove,https://lichess.org/0IXG0i1q/black#98
0Th7n,Q7/3qkp1p/pp1p4/4p3/P1B1P3/5n2/1P3PrP/2R2R1K w - - 2 21,c4e2 g2h2,1245,79,91,973,arabianMate kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/h7LVKbmw#41
0MEBg,7r/7P/5p2/5B2/6P1/2p1P3/1k3P2/6K1 w - - 1 43,f2f4 c3c2 f5c2 b2c2,1082,134,89,18,advancedPawn crushing endgame short,https://lichess.org/RLVaRiP4#85
04QLZ,8/8/4k3/K4p2/4P2p/6pP/P5P1/8 b - - 0 43,f5e4 a5b4 e6d5 b4c3,1205,75,96,2416,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/nFhmTDsJ/black#86
0XlYf,1brr2k1/1p2qp1p/p1n3p1/3p1b2/NP2n3/P3PN1P/Q2BBPP1/3RR1K1 b - - 5 19,e4g5 f3g5 e7g5 e3e4 g5h4 e4f5,1731,112,100,14,crushing long middlegame,https://lichess.org/wfxLWjxM/black#38
0k52B,r3q3/1Q4pk/2B4p/1K5r/4P3/N1B5/PP3b2/2R5 w - - 5 39,e4e5 h5e5 c3e5 e8e5 b5c4 a8b8 c6e4 h7h8,2443,83,76,109,advantage defensiveMove middlegame veryLong,https://lichess.org/lfwjSPwQ#77
0gU9c,3R2k1/pq2bppp/1p2p3/4B3/Q1P1n3/5NP1/P3PPKP/8 b - - 0 20,e7d8 a4e8,731,91,60,81,endgame mate mateIn1 oneMove,https://lichess.org/IfMfwZGg/black#40
0j0d9,4r2k/1p4bp/p1pq2p1/2nP4/4B1P1/7P/PP4Q1/3R1RK1 w - - 5 27,d5c6 g7d4 g1h1 c5e4,1747,100,54,17,advantage middlegame short,https://lichess.org/5VO01P8b#53
11t6s,rn4k1/1p3r1p/1qpb2pB/p2p4/5Pb1/2NBR1P1/PPP2Q1P/R5K1 b - - 8 19,d6c5 e3e8 f7f8 e8f8 c5f8 f2b6,1396,76,80,113,crushing kingsideAttack long middlegame,https://lichess.org/KE5g88fX/black#38
